ID_GDO_Well_Name	X	Y	Z_asl	Vertical_Well_Length_ne_MD
JB_CZ_77	-697287.27	-965143.52	336.66	14
JB_CZ_78	-697076.12	-965215.37	345.45	29
JB_CZ_79	-697959.9	-965455.7	332.82	27
JB_CZ_80	-697085.68	-965517.2	320.67	36
JB_CZ_81	-696973.08	-963666.36	314.7	21
JB_CZ_82	-696725.33	-965778.7	309.62	16
JB_CZ_83	-696185.14	-966126.44	339.2	15.1
JB_CZ_84	-696049.36	-966059.67	337.7	9.5
JB_CZ_85	-696251.29	-966059.71	330.1	14
JB_CZ_86	-696322.15	-966033.8	328.7	11.7
JB_CZ_87	-696256.61	-965965.91	324.6	9.7
JB_CZ_88	-696467.5	-965984.55	311.1	7
JB_CZ_89	-696479.61	-966038.04	319.6	9.3
JB_CZ_90	-696966.45	-965647.96	325.4	10.7
JB_CZ_91	-695755.75	-965772	318.8	9.2
JB_CZ_92	-702022.5	-961333.5	259.74	8.4
JB_CZ_93	-702120.34	-961233.58	257.81	10
JB_CZ_94	-702148.1	-961146.43	256.1	11
JB_CZ_95	-702211.06	-961040.62	253.96	7
JB_CZ_96	-701961.51	-961195.9	259	7
JB_CZ_97	-700698.6	-962121.76	300	11
JB_CZ_98	-700699.7	-962120.95	299.95	10.5
JB_CZ_99	-701272	-962260.3	273.9	13
JB_CZ_100	-701273.78	-962098.86	277.44	6
JB_CZ_101	-701043.42	-962120.5	284.48	12.8
JB_CZ_102	-700943	-962150.02	290.37	11.6
JB_CZ_103	-700996.73	-962365.42	288.83	8.1
JB_CZ_104	-700884.53	-962371.52	294.44	8.2
JB_CZ_105	-700968.79	-962256.32	290.2	6
JB_CZ_106	-698392.05	-962504.99	313.25	25
JB_CZ_107	-698200.73	-962144.06	319.74	20
JB_CZ_108	-697454.25	-961896.5	296.3	5
JB_CZ_109	-698229.72	-963015.53	305.16	10
JB_CZ_110	-698331.06	-962558.93	319.2	6.5
JB_CZ_111	-698363	-962632.5	319	17.6
JB_CZ_112	-698291.5	-962748	317	11
JB_CZ_113	-697407	-961919	322.1	26.1
JB_CZ_114	-698948.17	-962766.2	323.17	10
JB_CZ_115	-697700.79	-961801.08	342	5
JB_CZ_116	-698324	-961033.5	285	15
JB_CZ_117	-699572	-960200.5	292	14
JB_CZ_118	-700929.47	-961347.1	279.08	18
JB_CZ_119	-701322.84	-961983.89	273.58	14.5
JB_CZ_120	-700483.72	-961418.23	282.23	11
JB_CZ_121	-700127.88	-961771.77	295.58	11
JB_CZ_122	-699586.07	-962568.59	322.6	11
JB_CZ_123	-700831.85	-962085.18	295	15
JB_CZ_124	-700843.87	-961568.55	289.87	12
JB_CZ_125	-700828.8	-961757.52	292.56	13.6
JB_CZ_126	-700521.1	-961754.43	296.42	10
JB_CZ_127	-700450.15	-962000.8	304.9	14
JB_CZ_128	-700206.6	-962430.45	327.98	15
JB_CZ_129	-701187.52	-961602.13	280.17	13
JB_CZ_130	-701625.66	-960927.97	252.8	9
JB_CZ_131	-702204.58	-960887.8	252.3	11
JB_CZ_132	-702060	-961103	254	11
JB_CZ_133	-701251.79	-960917.76	258.24	11.5
JB_CZ_134	-702269.84	-961150.98	254.2	10
JB_CZ_135	-702098.42	-961592.59	256.2	11
JB_CZ_136	-701731.63	-961420.28	264.49	10
JB_CZ_137	-702569.25	-960888.9	245.2	7
JB_CZ_138	-702572.12	-961307.93	251.4	11
JB_CZ_139	-701758.54	-961907.46	259.72	13
JB_CZ_140	-703187.78	-962553.3	256.32	10
JB_CZ_141	-703367.26	-962298.84	251.41	6
JB_CZ_142	-703332.38	-963771.01	304.83	3
JB_CZ_143	-703226.82	-963859.22	311.72	6
JB_CZ_144	-702801.81	-963447.61	262.3	9
JB_CZ_145	-700261.21	-961160.5	267.59	8
JB_CZ_146	-700014.51	-961396.23	281.5	12.7
JB_CZ_147	-699664.65	-961799.06	285.34	10
JB_CZ_148	-701187.52	-961602.19	290.27	8
JB_CZ_149	-702204.58	-960887.8	252.3	8
JB_CZ_150	-700396.36	-962443.48	324.67	4.3
JB_CZ_151	-700807.06	-961860.06	292.99	4
JB_CZ_152	-700545.18	-962753.67	312.73	7
JB_CZ_153	-693671	-967963.25	293.22	26
JB_CZ_154	-693703.25	-967969.75	292.85	26
JB_CZ_155	-698413	-961105	285.42	15.5
JB_CZ_156	-698408	-961148	286.18	16
JB_CZ_157	-698373	-961126	284.36	15
JB_CZ_158	-698339	-961215	286.28	19
JB_CZ_159	-698219	-961325	289.47	20.5
JB_CZ_160	-698096	-961461	296.45	16
JB_CZ_161	-697972	-961625	306.57	40
JB_CZ_162	-697972	-961683	313.16	50.2
JB_CZ_163	-697525	-961487	317.68	25
JB_CZ_164	-697909	-961972	321.66	54
JB_CZ_165	-697905.30638	-963217.285882	295.42	4.5
JB_CZ_166	-697885.22572	-962767.636593	305.16	5
JB_CZ_167	-697644.2578	-962853.86531	320.21	4
JB_CZ_168	-697636.825987	-962949.469922	324.08	4.1
JB_CZ_169	-697635.595554	-963106.350079	328.87	14
JB_CZ_170	-697770.254098	-963096.014445	316.48	25.5
JB_CZ_171	-697893.494227	-962863.456778	309.94	15
JB_CZ_172	-699015.562061	-962331.389689	316.75	15
JB_CZ_173	-698875.444883	-962638.525823	320.75	20
JB_CZ_174	-695793	-966978	292.6	4
JB_CZ_175	-695624	-966423	299.5	8
JB_CZ_176	-695329	-965957	333.02	3
JB_CZ_177	-695484	-965248	369.45	5
JB_CZ_178	-695850	-965069	363.2	5
JB_CZ_179	-696409	-964804	348.71	3
JB_CZ_180	-696918	-964533	336.1	4
JB_CZ_181	-697510	-964132	298.94	6
JB_CZ_182	-697814	-963794	311.23	5
JB_CZ_183	-698210	-963352	296.97	8
JB_CZ_184	-698333	-963216	295.07	6
JB_CZ_185	-698706	-962928	320.55	5
JB_CZ_186	-698951	-962853	320.43	6
JB_CZ_187	-699413	-962839	324.84	7
JB_CZ_188	-699601	-962828	318.25	6
