ID_GDO_Well_Name	TOP_MD_hloubka_m	BASE_MD_hloubka_m	Horizon_index	Horizon_nazev	Autor_interpretace	GIS_X	GIS_Y
F_69389	267.3	282.6	TPw	TPw	Jan Bohadlo	-702163.3	-962658.4
F_69389	282.6	283.3	X	XX_Neinterpretovatelny_interval_vrtu	Jan Bohadlo	-702163.3	-962658.4
F_69389	283.3	295	TPw	TPw	Jan Bohadlo	-702163.3	-962658.4
F_69389	295	297	TB	TB	Jan Bohadlo	-702163.3	-962658.4
F_69389	297	374	TPw	TPw	Jan Bohadlo	-702163.3	-962658.4
F_69395	0	8.8	Q	Q	Jan Bohadlo	-700949.49	-962382.28
F_69395	8.8	11	TNw	TNw	Jan Bohadlo	-700949.49	-962382.28
F_69396	0	9.7	Q	Q	Jan Bohadlo	-700876.19	-962267.22
F_69396	9.7	10	TNw	TNw	Jan Bohadlo	-700876.19	-962267.22
F_69397	0	9.8	Q	Q	Jan Bohadlo	-700875.96	-962130.63
F_69397	9.8	10.6	TNw	TNw	Jan Bohadlo	-700875.96	-962130.63
F_69398	0	10.3	Q	Q	Jan Bohadlo	-700962.7	-962116.43
F_69398	10.3	11.6	TNw	TNw	Jan Bohadlo	-700962.7	-962116.43
F_69399	0	10.9	Q	Q	Jan Bohadlo	-701050.34	-962094.05
F_69399	10.9	12	TNw	TNw	Jan Bohadlo	-701050.34	-962094.05
F_69400	0	10.6	Q	Q	Jan Bohadlo	-701169.24	-962053.79
F_69400	10.6	12	TNw	TNw	Jan Bohadlo	-701169.24	-962053.79
F_69401	0	8.3	Q	Q	Jan Bohadlo	-701284.52	-962054.23
F_69401	8.3	10	TNw	TNw	Jan Bohadlo	-701284.52	-962054.23
F_69402	0	3.9	Q	Q	Jan Bohadlo	-700747.73	-962385.03
F_69402	3.9	6	TNw	TNw	Jan Bohadlo	-700747.73	-962385.03
F_69403	0	2.8	Q	Q	Jan Bohadlo	-700743.69	-962275.36
F_69403	2.8	5	TNw	TNw	Jan Bohadlo	-700743.69	-962275.36
F_69403	5	5.5	X	XX_Neinterpretovatelny_interval_vrtu	Jan Bohadlo	-700743.69	-962275.36
F_69403	5.5	6	TNw	TNw	Jan Bohadlo	-700743.69	-962275.36
F_69404	0	8	Q	Q	Jan Bohadlo	-701066.57	-961995.67
F_69404	8	10	TNw	TNw	Jan Bohadlo	-701066.57	-961995.67
F_69405	0	4.9	Q	Q	Jan Bohadlo	-700999.05	-962233.68
F_69406	0	1.3	Q	Q	Jan Bohadlo	-701038.5	-962248
F_69406	1.3	10	TNw	TNw	Jan Bohadlo	-701038.5	-962248
F_69407	0	0.9	Q	Q	Jan Bohadlo	-701044	-962174.2
F_69407	0.9	10	TNw	TNw	Jan Bohadlo	-701044	-962174.2
F_69408	0	8.4	Q	Q	Jan Bohadlo	-701123.9	-962122.4
F_69408	8.4	14	TNw	TNw	Jan Bohadlo	-701123.9	-962122.4
F_69409	0	5.1	Q	Q	Jan Bohadlo	-701041	-964073
F_69412	0	4.2	Q	Q	Jan Bohadlo	-700956	-964062
F_69414	0	5.1	Q	Q	Jan Bohadlo	-701023	-964032
F_69417	0	5	Q	Q	Jan Bohadlo	-700970	-964040
F_69419	0	5.5	Q	Q	Jan Bohadlo	-701032	-963984
F_69421	0	5	Q	Q	Jan Bohadlo	-700990	-963977
F_69423	0	4	Q	Q	Jan Bohadlo	-700958	-963960
F_69424	0	2.8	Q	Q	Jan Bohadlo	-700990	-963937
F_69425	0	5.1	Q	Q	Jan Bohadlo	-701018	-963911
F_69427	0	4.3	Q	Q	Jan Bohadlo	-700951	-963903
F_69429	0	3.7	Q	Q	Jan Bohadlo	-700906	-963970
F_69431	0	4	Q	Q	Jan Bohadlo	-700851	-964006
F_69433	0	2.2	Q	Q	Jan Bohadlo	-700949	-963998
F_69435	0	5.7	Q	Q	Jan Bohadlo	-697387.1	-963147.6
F_69435	5.7	8	Sx	Sx	Jan Bohadlo	-697387.1	-963147.6
F_69436	0	12	Q	Q	Jan Bohadlo	-697527.6	-963282.1
F_69436	12	14	Sx	Sx	Jan Bohadlo	-697527.6	-963282.1
F_69437	0	4.7	Q	Q	Jan Bohadlo	-697425.1	-963292.7
F_69437	4.7	6	Sx	Sx	Jan Bohadlo	-697425.1	-963292.7
F_69438	0	2	Q	Q	Jan Bohadlo	-697428.7	-963358.8
F_69438	2	3.5	Sx	Sx	Jan Bohadlo	-697428.7	-963358.8
F_69439	0	6.1	Q	Q	Jan Bohadlo	-697387.8	-963371.7
F_69439	6.1	7	Sx	Sx	Jan Bohadlo	-697387.8	-963371.7
F_69440	0	15.2	Q	Q	Jan Bohadlo	-697296.9	-963378.5
F_69440	15.2	16	Sx	Sx	Jan Bohadlo	-697296.9	-963378.5
F_69441	0	5.6	Q	Q	Jan Bohadlo	-697449.2	-963214.7
F_69441	5.6	13	Sx	Sx	Jan Bohadlo	-697449.2	-963214.7
F_69442	0	19	Q	Q	Jan Bohadlo	-697458.1	-963619.6
F_69442	19	20	Sx	Sx	Jan Bohadlo	-697458.1	-963619.6
F_69443	0	6.4	Q	Q	Jan Bohadlo	-697364.6	-963246.7
F_69443	6.4	10	Sx	Sx	Jan Bohadlo	-697364.6	-963246.7
